Taxa,/N/dc2/scratch/hleffler/kraken_report/SRR9649760_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649757_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649758_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649759_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649755_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649754_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649756_kraken_report
Acholeplasmataceae,1115, 439, 1274, 1501, 576, 206, 1207
Fimbriimonadaceae,754, 799, 747, 795, 786, 555, 991
Chthonomonadaceae,591, 377, 558, 596, 504, 248, 714
Flavobacteriaceae,55831, 26647, 63285, 62628, 29803, 12722, 53754
Blattabacteriaceae,503, 253, 549, 598, 362, 152, 551
Crocinitomicaceae,226, 110, 270, 290, 145, 45, 257
Cryomorphaceae,204, 115, 227, 223, 148, 82, 244
Ichthyobacteriaceae,104, 66, 117, 117, 80, 33, 85
Bacteroidaceae,9447, 3195, 10792, 9989, 3860, 1658, 8391
Rikenellaceae,3210, 3271, 3173, 3060, 3140, 2173, 3681
Prevotellaceae,2748, 1694, 2857, 2835, 1958, 1018, 2726
Porphyromonadaceae,1620, 906, 1889, 1851, 1121, 525, 1585
Tannerellaceae,1432, 948, 1512, 1385, 1076, 608, 1231
Muribaculaceae,1005, 729, 1100, 1100, 782, 404, 1110
Odoribacteraceae,625, 332, 687, 612, 406, 236, 596
Paludibacteraceae,397, 174, 434, 489, 210, 70, 402
Dysgonamonadaceae,370, 217, 339, 380, 262, 114, 397
Barnesiellaceae,270, 239, 297, 333, 240, 168, 313
Prolixibacteraceae,1051, 556, 1298, 1202, 712, 263, 985
Salinivirgaceae,572, 270, 626, 666, 350, 94, 665
Marinifilaceae,409, 326, 444, 485, 340, 126, 440
Marinilabiliaceae,402, 201, 495, 492, 256, 109, 428
Hymenobacteraceae,8796, 8975, 9334, 8791, 8168, 5503, 9732
Cytophagaceae,6330, 5096, 6819, 6777, 5341, 3116, 7160
Cyclobacteriaceae,5336, 2067, 6043, 6715, 2473, 1167, 5522
Flammeovirgaceae,2091, 1103, 2445, 2290, 1287, 560, 1983
Amoebophilaceae,984, 175, 1117, 1253, 236, 73, 802
Bernardetiaceae,416, 187, 502, 365, 253, 74, 268
Sphingobacteriaceae,12313, 6824, 13986, 13137, 7907, 3439, 11437
Chitinophagaceae,9115, 4730, 10004, 11122, 5452, 2583, 10172
Rhodothermaceae,6561, 8704, 6829, 6344, 6774, 5641, 8128
Haliscomenobacteraceae,790, 505, 752, 769, 459, 301, 741
Saprospiraceae,222, 148, 251, 320, 144, 78, 349
Chlorobiaceae,9782, 5721, 10554, 10310, 6168, 3296, 9609
Ignavibacteriaceae,964, 827, 1141, 1020, 614, 359, 875
Melioribacteraceae,763, 467, 757, 715, 496, 233, 605
Gemmatimonadaceae,3524, 8239, 3481, 2898, 4888, 5699, 4106
Fibrobacteraceae,346, 269, 320, 330, 254, 136, 269
Planctomycetaceae,10514, 15472, 10922, 9229, 12868, 10238, 11194
Isosphaeraceae,7808, 12246, 7936, 7014, 9935, 8370, 9146
Gemmataceae,4644, 7694, 4693, 4061, 5966, 5040, 5149
Sedimentisphaeraceae,1922, 1745, 2194, 1907, 2038, 999, 1761
Phycisphaeraceae,1772, 2984, 1805, 1583, 2155, 2063, 1922
Candidatus Brocadiaceae,2741, 2876, 3133, 2719, 1681, 1845, 1946
Opitutaceae,6476, 8161, 6887, 5871, 6591, 5379, 6942
Puniceicoccaceae,1564, 635, 1788, 1278, 553, 288, 1046
Verrucomicrobiaceae,1858, 2393, 1964, 1606, 2073, 1530, 2099
Akkermansiaceae,1408, 877, 1505, 1518, 979, 569, 1495
Methylacidiphilaceae,902, 313, 1111, 977, 418, 181, 785
Kiritimatiellaceae,2128, 1557, 2105, 1911, 1730, 948, 1891
Parachlamydiaceae,790, 454, 875, 930, 556, 226, 829
Waddliaceae,133, 112, 138, 174, 173, 71, 240
Simkaniaceae,95, 125, 135, 98, 147, 94, 132
Chlamydiaceae,768, 516, 1017, 764, 711, 258, 815
Spirochaetaceae,9792, 5366, 11215, 10566, 6957, 2900, 9733
Borreliaceae,1552, 664, 1887, 1596, 962, 244, 1482
Leptospiraceae,2863, 1550, 3138, 2929, 1666, 860, 2535
Brachyspiraceae,1557, 654, 1859, 1678, 820, 317, 1375
Acidobacteriaceae,6107, 7390, 6297, 6482, 5985, 5073, 7192
Solibacteraceae,1667, 3097, 1696, 1523, 2197, 1991, 2065
Vicinamibacteraceae,1577, 3976, 1611, 1516, 2295, 2823, 2108
Fusobacteriaceae,4981, 1739, 5754, 5508, 2399, 776, 4492
Leptotrichiaceae,3273, 1108, 3640, 3689, 1465, 582, 3067
Thermotogaceae,3088, 1176, 3356, 3178, 1797, 658, 2519
Fervidobacteriaceae,2000, 643, 2217, 2175, 1014, 345, 1742
Petrotogaceae,1565, 386, 1759, 1816, 570, 187, 1469
Kosmotogaceae,1271, 421, 1440, 1504, 592, 207, 1204
Nitrospiraceae,5638, 5811, 6011, 5920, 4406, 3938, 6224
Synergistaceae,5213, 3154, 5572, 5602, 4229, 1971, 6049
Aquificaceae,2233, 790, 2438, 2528, 996, 414, 1865
Hydrogenothermaceae,1266, 421, 1396, 1484, 587, 243, 1180
Desulfurobacteriaceae,901, 448, 1029, 1178, 484, 291, 961
Deferribacteraceae,3627, 1421, 4141, 3939, 1889, 713, 3535
Candidatus Babeliaceae,155, 79, 198, 149, 149, 31, 155
Thermodesulfobacteriaceae,2644, 985, 2853, 3104, 1430, 428, 2673
Calditrichaceae,1438, 1161, 1640, 1542, 1262, 532, 1612
Endomicrobiaceae,737, 155, 809, 750, 235, 68, 511
Elusimicrobiaceae,149, 106, 170, 123, 119, 58, 120
Dictyoglomaceae,710, 292, 809, 708, 541, 126, 596
Chrysiogenaceae,607, 661, 706, 615, 612, 396, 818
Caldisericaceae,210, 93, 265, 183, 180, 62, 219
Coprothermobacteraceae,197, 91, 226, 185, 172, 53, 190
Methanosarcinaceae,71811, 3658, 79106, 73345, 6387, 1810, 56194
Methanotrichaceae,8958, 1029, 9212, 9510, 1890, 561, 6729
Methanomicrobiaceae,12000, 2001, 12417, 12022, 2906, 1171, 10094
Methanoregulaceae,7367, 1068, 7880, 7190, 1500, 557, 5414
Methanospirillaceae,2787, 167, 3180, 3141, 298, 76, 2306
Methanocorpusculaceae,1042, 95, 1167, 1140, 164, 68, 880
Methanocellaceae,6164, 1168, 6588, 5448, 1909, 673, 5005
Haloarculaceae,5294, 4229, 5318, 4790, 3900, 3046, 5357
